deviceinfo_deviceid,max,count,sum
3.58E+14,20,10226,13704393
3.58E+14,28,6868,13694406
3.58E+14,28,7583,13659873
3.56E+14,24,13613,13619717
3.58E+14,40,11389,13588894
3.58E+14,26,7621,13559094
3.58E+14,27,10070,13439408
3.58E+14,39,14166,13401862
3.58E+14,22,5551,13381997
3.58E+14,27,7198,13363323
3.58E+14,27,7528,13357659
3.58E+14,23,8612,13342522
3.58E+14,26,7497,13288765
3.58E+14,23,5757,13232754
3.56E+14,23,6975,13176936
3.58E+14,27,11342,13145892
3.58E+14,25,13429,13126343
3.56E+14,22,7109,13110388
3.58E+14,25,14626,13081232
3.58E+14,27,14938,13026315
3.57E+14,48,20930,13018699
3.58E+14,28,11878,12987230
3.54E+14,57,31239,12951192
3.54E+14,58,11889,12898521
3.58E+14,23,6866,12835738
3.58E+14,25,12121,12820452
3.56E+14,30,6561,12774629
3.56E+14,27,7076,12768175
3.58E+14,28,8777,12767746
3.58E+14,40,8544,12757013
3.56E+14,25,8176,12749562
3.56E+14,30,5088,12720246
3.58E+14,25,7878,12680986
3.58E+14,26,7545,12673912
3.56E+14,24,12304,12670309
3.58E+14,24,18493,12638849
3.58E+14,28,12045,12632560
3.53E+14,42,16160,12568980
3.56E+14,26,6636,12537209
3.58E+14,25,10648,12533248
3.58E+14,41,9827,12478446
9.90E+14,42,10317,12440304
3.58E+14,25,6392,12418284
3.59E+14,51,25443,12418031
3.58E+14,26,15166,12402126
3.58E+14,24,6379,12388140
3.52E+14,40,19818,12357387
3.58E+14,27,12650,12306002
3.58E+14,27,23137,12272968
3.58E+14,26,13284,12267345
3.55E+14,34,6238,12254956
3.56E+14,29,8174,12251173
3.58E+14,30,6624,12249306
3.58E+14,28,11396,12243035
3.54E+14,50,30332,12176329
3.58E+14,27,12837,12176263
3.56E+14,30,11915,12144587
3.53E+14,46,14093,12058019
3.58E+14,22,7643,12035366
3.58E+14,30,7645,12033974
3.56E+14,28,6555,12022397
3.56E+14,25,10831,12011381
3.58E+14,38,13375,11980863
3.58E+14,23,7657,11971450
3.58E+14,25,5655,11958877
3.56E+14,23,6251,11936550
3.59E+14,27,6602,11911150
3.58E+14,25,9329,11908245
3.58E+14,24,7170,11890054
3.59E+14,23,7126,11868476
3.54E+14,52,8801,11860424
3.58E+14,27,16089,11859468
3.56E+14,30,6548,11807453
3.59E+14,23,10378,11778887
3.58E+14,29,4871,11768665
3.58E+14,26,10796,11759908
3.56E+14,27,4434,11709573
3.55E+14,40,16735,11664684
3.57E+14,33,9437,11658347
3.58E+14,26,13211,11638961
3.56E+14,28,8094,11588643
3.58E+14,22,10883,11584867
3.54E+14,28,6816,11575569
3.56E+14,27,14434,11493286
3.56E+14,23,6954,11479569
3.58E+14,23,7041,11361793
3.58E+14,28,14680,11329428
3.56E+14,29,7411,11319774
3.52E+14,41,47134,11242410
3.56E+14,19,4891,11221593
9.90E+14,48,18284,11212931
3.58E+14,26,7986,11193753
3.58E+14,29,7228,11140059
3.58E+14,25,21312,11088420
3.55E+14,40,20744,11054688
3.58E+14,29,5768,11054641
3.55E+14,42,46400,11023092
3.59E+14,35,11873,10974269
3.58E+14,24,7566,10952855
3.56E+14,31,11356,10916393
3.59E+14,24,8512,10912270
9.90E+14,40,20006,10842128
3.59E+14,26,8853,10831913
3.56E+14,24,8083,10793160
3.58E+14,24,15034,10791927
3.55E+14,39,41567,10771020
9.90E+14,40,16975,10761794
3.58E+14,42,31284,10743320
3.58E+14,27,11947,10740907
3.58E+14,30,7928,10732551
3.53E+14,45,31107,10715400
3.56E+14,26,9346,10700075
3.58E+14,27,12526,10676476
3.58E+14,72,32224,10660623
3.56E+14,27,5516,10659356
3.58E+14,27,10753,10646865
3.58E+14,26,6949,10638809
3.58E+14,24,14857,10634718
3.58E+14,28,10769,10618424
3.56E+14,28,7639,10594770
3.56E+14,31,6782,10581474
3.58E+14,31,6385,10579090
3.56E+14,41,19492,10569868
3.58E+14,27,9515,10501312
3.56E+14,30,7865,10488482
3.56E+14,24,10053,10402224
3.58E+14,26,25281,10396617
3.59E+14,29,7736,10393205
3.56E+14,31,9678,10365814
3.58E+14,25,11628,10325376
3.59E+14,24,8781,10300251
3.56E+14,27,6823,10269609
3.58E+14,23,11670,10262669
3.55E+14,40,11408,10248401
3.58E+14,29,8422,10240366
3.58E+14,25,6768,10214660
3.58E+14,25,11615,10198669
3.58E+14,26,5378,10125148
3.58E+14,27,8222,10044683
3.58E+14,26,8256,10032339
3.58E+14,27,9264,9971180
3.56E+14,25,5981,9969714
3.59E+14,25,3985,9957762
3.58E+14,26,12450,9950213
3.59E+14,46,20609,9945940
3.58E+14,26,9485,9927768
3.55E+14,37,19818,9922732
3.58E+14,31,5242,9918879
3.58E+14,27,7555,9878539
3.56E+14,23,6288,9854143
3.58E+14,27,5690,9849610
3.58E+14,23,10918,9828616
3.58E+14,29,4663,9803128
3.59E+14,22,9126,9793875
3.58E+14,29,11660,9770834
3.56E+14,24,4616,9757028
3.58E+14,27,11875,9734668
3.56E+14,30,4873,9709531
3.56E+14,28,6464,9685490
3.58E+14,21,6734,9683710
